"team","ncaa_id","season","jersey","name","position","height_clean","academic_year","hometown","homestate","high_school","previous_school","url","team_state","conference","division","height_ft","height_in","total_inches","primary_position","secondary_position","position_clean","hometown_clean","state_clean","country_clean","previous_school_clean"
"Abilene Christian",2,"2025-26","0","Molly Daugherty",,"5'10""","Fr.","Summerville","SC.","Summerville HS",,"https://acusports.com/sports/womens-basketball/roster/molly-daugherty/10954","TX","WAC","I",5,10,70,,,,"SUMMERVILLE, SC","SC","USA",
"Abilene Christian",2,"2025-26","1","Emma Daugherty",,"6'1""","Fr.","Summerville","SC.","Summerville HS",,"https://acusports.com/sports/womens-basketball/roster/emma-daugherty/10955","TX","WAC","I",6,1,73,,,,"SUMMERVILLE, SC","SC","USA",
"Abilene Christian",2,"2025-26","10","Payton Hull",,"5'10""","Jr.","Peaster","Texas","Peaster HS",,"https://acusports.com/sports/womens-basketball/roster/payton-hull/10942","TX","WAC","I",5,10,70,,,,"PEASTER, TEXAS","TX","USA",
"Abilene Christian",2,"2025-26","11","Bree Riley",,"5'5""","Fr.","Spring","Texas","Grand Oaks HS",,"https://acusports.com/sports/womens-basketball/roster/bree-riley/10956","TX","WAC","I",5,5,65,,,,"SPRING, TEXAS","TX","USA",
"Abilene Christian",2,"2025-26","14","Meredith Mayes",,"6'3""","Jr.","Bixby","Okla","Bixby HS",,"https://acusports.com/sports/womens-basketball/roster/meredith-mayes/10943","TX","WAC","I",6,3,75,,,,"BIXBY, OKLA","OK","USA",
"Abilene Christian",2,"2025-26","15","Jazmyn Stone",,"5'6""","R-Jr.","Federal Way","Wash","Annie Wright Upper School for Girls","College of Charleston","https://acusports.com/sports/womens-basketball/roster/jazmyn-stone/10958","TX","WAC","I",5,6,66,,,,"FEDERAL WAY, WASH","WA","USA","College of Charleston"
"Abilene Christian",2,"2025-26","2","Natalia Chavez",,"5'11""","Sr.","Cochiti","NM.","Volcano Vista HS","New Mexico","https://acusports.com/sports/womens-basketball/roster/natalia-chavez/10939","TX","WAC","I",5,11,71,,,,"COCHITI, NM","NM","USA","New Mexico"
"Abilene Christian",2,"2025-26","21","Riley Grohman",,"5'10""","Fr.","Tuscola","Texas","Jim Ned HS",,"https://acusports.com/sports/womens-basketball/roster/riley-grohman/10957","TX","WAC","I",5,10,70,,,,"TUSCOLA, TEXAS","TX","USA",
"Abilene Christian",2,"2025-26","23","Jordyn Coleman",,"6'2""","Jr.","Zionsville","Ind","Zionsville Community HS","Triton College","https://acusports.com/sports/womens-basketball/roster/jordyn-coleman/10959","TX","WAC","I",6,2,74,,,,"ZIONSVILLE, IND","IN","USA","Triton College"
"Abilene Christian",2,"2025-26","24","Emma Troxell",,"6'0""","Jr.","Bushland","Texas","Bushland HS",,"https://acusports.com/sports/womens-basketball/roster/emma-troxell/10944","TX","WAC","I",6,0,72,,,,"BUSHLAND, TEXAS","TX","USA",
"Abilene Christian",2,"2025-26","4","Erin Woodson",,"5'10""","Jr.","Richmond","Virginia","Saint Gertrude HS","Purdue Fort Wayne","https://acusports.com/sports/womens-basketball/roster/erin-woodson/10945","TX","WAC","I",5,10,70,,,,"RICHMOND, VA","VA","USA","Purdue Fort Wayne"
"Abilene Christian",2,"2025-26","41","Aimee Flippen",,"6'4""","So.","Glen Rose","Texas","Glen Rose HS",,"https://acusports.com/sports/womens-basketball/roster/aimee-flippen/10941","TX","WAC","I",6,4,76,,,,"GLEN ROSE, TEXAS","TX","USA",
"Abilene Christian",2,"2025-26","5","Breanna Davis",,"5'6""","Sr.","Red Oak","Texas","Red Oak HS","North Texas","https://acusports.com/sports/womens-basketball/roster/breanna-davis/10940","TX","WAC","I",5,6,66,,,,"RED OAK, TEXAS","TX","USA","North Texas"
"Adelphi",3,"2025-26","1","Kirina Azemar",,"5'5""","Jr.","Westbury","NY.","Westbury (Nassau Community College)",,"https://aupanthers.com/sports/womens-basketball/roster/kirina-azemar/11367","NY","NE10","II",5,5,65,,,,"WESTBURY, NY","NY","USA",
"Adelphi",3,"2025-26","10","Sofia Kammas",,"5'10""","Fr.","Merrick","NY.","St. Mary's",,"https://aupanthers.com/sports/womens-basketball/roster/sofia-kammas/11365","NY","NE10","II",5,10,70,,,,"MERRICK, NY","NY","USA",
"Adelphi",3,"2025-26","11","Lauren Beberman",,"5'11""","Jr.","Mahopac","NY.","Mahopac",,"https://aupanthers.com/sports/womens-basketball/roster/lauren-beberman/11355","NY","NE10","II",5,11,71,,,,"MAHOPAC, NY","NY","USA",
"Adelphi",3,"2025-26","12","Alyssa Bell",,,"Fr.","Shoreham","NY.","Shoreham-Wading River",,"https://aupanthers.com/sports/womens-basketball/roster/alyssa-bell/11362","NY","NE10","II",,,,,,,"SHOREHAM, NY","NY","USA",
"Adelphi",3,"2025-26","13","Brooklyn SanFelippo",,"6'0""","Jr.","Staten Island","NY.","Hoosac School (Queens)",,"https://aupanthers.com/sports/womens-basketball/roster/brooklyn-sanfelippo/11359","NY","NE10","II",6,0,72,,,,"STATEN ISLAND, NY","NY","USA",
"Adelphi",3,"2025-26","14","Adout Ring",,"6'2""","Sr.","Sydney","Australia","West Oaks Academy (Presbyterian)",,"https://aupanthers.com/sports/womens-basketball/roster/adout-ring/11570","NY","NE10","II",6,2,74,,,,"SYDNEY, AUSTRALIA",,"AUSTRALIA",
